T T0 S:1 A:2 C:3
T T1 S:1 A:2 C:3
T T2 S:1 A:2 C:3
T T3 S:1 A:2 C:3
T T4 S:1 A:2 C:3
M M0 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M1 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M2 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M3 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M4 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M5 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M6 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M7 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M8 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M9 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M10 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M11 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M12 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M13 S:1 A:2 C:3 T0>T1>T2>T3>T4
M M14 S:1 A:2 C:3 T0>T1>T2>T3>T4
